LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
43.070728,7.1341152,96,49,48,2,ITGOA,HK,366,-1,ONE FORTUNE,7,8839702,51,128,30,156101,11,,,
48.544418,179.13097,182,100,,843,USTIW,LR,275,,YM COSMOS,7,406974,40,182,20,68413,11,,,
48.250317,-174.50961,187,91,,16,,,,,[SAT-AIS],7,TnpFM056Z3dOekUzTnpnd056RTNOdz09LURRdlBWNjFXSWtnZzZUd1pzeTdKSGc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine
55.744347,-5.8647399,108,197,196,2,ITRAN,NL,126,0,MARIETJE MARSILLA,7,271123,15,108,8,8491,9,,,
43.086788,-64.752945,153,203,207,2,NORFOLK,NO,205,3,VIKING OCTANTIS,6,5163010,23,28,12,4059,23,,,
-2.4261949,-38.159801,111,100,101,12,IN SIK,LR,332,0,TWIN POLLUX,8,756069,60,280,22,320701,17,,,
0.17907,-50.795815,150,83,81,255,BR TMT > BR ALU,BR,225,0,JURUTI,7,775104,32,192,11,75012,6,,,
0.71499997,-50.231667,90,79,,16,,,,,[SAT-AIS],7,TkRJeE9UazJOREl4T1RrMk5ESXhPUT09LXRnV0paNGl2VUdjVkNna2NHeHJzUFE9PQ==,,,,,,7,Cargo Vessel,Constrained by her Draught
41.85611,-169.51917,196,259,,213,KR PUS NEW PORT,HK,365,,COSCO BELGIUM,7,687538,51,142,23,156605,11,,,
41.663532,-170.94417,202,260,,16,,,,,[SAT-AIS],7,T1RZNU1EazVPVFk1TURrNU9UWTVNQT09LUxDODB1a1NReTdqbGVVRWV6M0hueGc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine
42.01791,-66.510925,55,127,146,2,LUNENBURG CANADA,CA,40,0,MAUDE ADAMS,2,3726919,12,15,12,750,43,,,
-1.49657,-48.727955,0,235,40,4,BARCARENA,CN,199,0,SHENG HE HAI,7,649963,32,175,12,58089,6,,,
42.389515,3.3792284,74,343,340,2,FRPOV,SG,158,-3,CAMEROUN EXPRESS,7,8857809,25,131,7,14565,21,,,
6.8979049,-82.246262,81,90,89,3,RODMAN,PT,299,0,MSC ANZU,7,3573660,48,226,30,109619,11,,,
12.702951,-68.874931,1,35,21,3,FOR ORDERS,PA,333,0,H.CONSTANCE,8,753170,60,279,30,317000,17,,,
17.929085,-102.18541,1,206,27,4,LAZARO CARDENAS,PA,291,0,GCL DUNKIRK,7,6902966,45,247,18,180953,6,,,
62.140205,-6.6780715,0,346,282,4,LAMBAVIK,FO,109,0,BAKKAFOSSUR,2,7165542,22,31,4,4800,84,,,
43.562218,-42.402946,167,109,102,2,ESAGP,PA,220,0,MSC HELENA III,7,300097,32,198,14,41850,11,,,
42.196823,-125.16215,211,177,177,2,US SBA,NL,285,0,EURODAM,6,257996,32,78,16,9125,23,,,
29.679424,-83.363548,2,,,4,CLASS B,US,8,,SIMPLE INTEREST,9,7671986,2,6,1,,,,,
21.769041,-155.40227,46,263,261,2,PEARL HARBOR HI,US,35,0,JULIE F,3,434021,9,11,5,150,54,,,
43.780308,-68.33902,113,241,245,3,USPWM,MH,183,0,NEW ENGLAND,8,711764,27,148,13,37515,88,,,
64.46228,10.296233,111,222,224,2,NORIV,NL,109,0,SHETLAND,7,5913529,15,94,7,7000,70,,,
26.126078,-78.197639,173,110,110,3,EGPSD,LR,299,0,LNG HARMONY,8,7792248,46,239,36,95655,18,,,
45.268059,-66.044586,0,162,178,4,SANTOS,LR,199,0,AMANI,7,4218805,32,171,19,61436,6,,,
48.528275,-58.525246,0,300,,4,LOWER COVE,CA,29,,RJ BALLOTT,3,379922,8,6,6,94,54,,,
33.69635,-120.10957,91,92,92,3,US LGB,US,272,0,POLAR ENDEAVOUR,8,400567,46,221,23,141739,17,,,
18.005302,-63.114994,78,170,170,3,LCCAS,LR,154,-2,AS FREYA,7,726860,24,141,12,17266,11,,,
41.63158,-69.526878,123,336,332,2,USBOS,MH,183,0,SILVER ZOE,8,3434925,32,147,24,49635,88,,,
43.745693,-81.726875,0,199,279,4,MUSKEGON,CA,198,0,ALGOMA INNOVATOR,7,5182765,23,185,9,25164,156,,,
43.359894,-64.382919,116,35,33,2,CAHAL,JP,365,0,ONE MEISHAN,7,5545198,51,142,33,146648,11,,,
44.081665,-8.1888332,113,65,65,2,FR LPE,MH,199,0,DELICATA,7,5733809,32,173,24,57441,9,,,
46.497421,-52.85318,111,86,83,3,GBSOU,LR,227,0,GENOA EXPRESS,7,688856,37,181,14,52038,11,,,
-6.7206268,-131.49254,203,297,299,2,VNVUT,PT,335,0,MSC FAIRFIELD,7,753668,42,246,18,113687,11,,,
38.214245,-123.939,91,282,285,2,US OAK>>TW KHH,SG,366,2,EVER MACH,7,7902259,51,111,15,160000,11,,,
24.500668,-16.412989,181,17,18,2,GBFXT,LR,366,0,MSC CATANIA,7,9191331,51,111,21,199999,11,,,
52.957699,1.87209,156,131,133,2,BEZEE,MT,195,5,PEREGRINE,7,150391,26,146,13,14538,12,,,
49.621235,-124.49239,146,301,302,2,US KTN,BS,294,0,NORWEGIAN JADE,6,368774,37,41,16,7500,23,,,
47.795052,-90.328735,,,,2,,--,0,,VTS 3669795,0,25966,0,,,,,,,
9.8827829,-17.221617,131,325,324,3,NL RTM,LR,243,0,FPMC P IDEAL,8,755498,42,206,26,109994,71,,,
36.3283,-122.71464,166,330,332,2,USOAK,US,255,-1,PRESIDENT CARTER,7,9062529,40,196,15,71520,11,,,
41.312366,2.1528084,0,280,217,7,BARCELONA,LR,399,,MSC RAYA,7,7618979,61,130,18,272405,11,,,
32.645828,-10.606537,167,40,,8,ESVLC,PA,324,,MSC LUCY,7,459905,42,250,15,104954,11,,,
3.7927816,4.6267385,103,323,321,3,LOME,LR,204,0,MSC GEORGIA II,7,757956,28,16,14,30608,11,,,
-6.0680833,-5.7901335,197,144,144,2,NLRTM>LKCMB,TW,399,0,EVER ART,7,7079594,62,132,17,241960,11,,,
52.027172,-5.8517666,177,188,190,3,NL RTM,MT,216,0,LAURELINE,7,5824224,32,23,28,20615,12,,,
31.97254,-13.999258,128,11,13,2,FRLEH,LR,366,0,MSC GIUSY,7,7903348,51,112,31,204453,11,,,
29.37722,-80.207497,126,337,337,2,USJAX,PA,202,0,MSC CANBERRA III,7,420829,30,181,14,41583,11,,,
0.92130834,-91.768806,70,170,162,2,WOLF,EC,25,,CALIPSO,6,5953312,8,10,4,0,23,,,
50.898476,-146.20383,162,101,,15,,,,,[SAT-AIS],7,TnpJeE56QTNOekl4TnpBM056SXhOdz09LTZBOGQraTd3Y3phLytVczI1QTB0dXc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine
41.664932,-71.521828,,,,2,,--,0,,VTS 3660620,0,25564,0,,,,,,,
32.073727,-171.60815,17,96,,15,,,,,[SAT-AIS],3,TkRZeU5qUTNORFl5TmpRM05EWXlOZz09LXZEdCtkSnU4RmNsZWNxNkJENksxNEE9PQ==,,,,,,3,Tugs & Special Craft,Engaged in Fishing
-1.4501266,-93.379723,126,309,310,1204,CN NDE,BB,199,0,ITHOMI,7,6248889,32,180,21,64049,6,,,
1.3566667,-96.846664,130,309,,16,,,,,[SAT-AIS],7,Tnprd05qazFOemt3TmprMU56a3dOZz09LU84VEFlR2xUSFFmdjIwUmxES1htdWc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine
33.009964,-9.415617,103,40,,2,MAPTM,MT,399,,CMA CGM ZHENG HE,7,3549112,54,172,30,184364,11,,,
43.923779,-9.2906637,126,30,32,2,DENMARK,AG,274,0,OCEAN II,8,715883,48,231,16,160209,17,,,
18.962299,-20.689856,126,207,205,4,SANTOS BRAZIL,MH,201,,GRANDIS,7,5792486,34,171,21,62343,9,,,
47.385281,-21.865669,153,257,258,2,USBOS,LR,294,0,MSC RONIT R,7,757579,32,239,11,64519,11,,,
38.991566,8.4902334,0,87,359,4,ESBCN,IT,129,0,MELIGUNIS M,8,288685,19,104,18,11258,88,,,
37.898941,-87.690742,50,247,245,3,STILES,US,42,0,TENNESSEE,3,3356797,12,15,10,0,54,,,
24.25,-92.529999,0,265,,16,,,,,[SAT-AIS],8,TXpVM05EVTBNelUzTkRVME16VTNOQT09LWloaHVSNnhzZ1Q5UWh5KzBlQ09sQlE9PQ==,,,,,,8,Tanker,Underway by Sail
42.700562,5.8550248,103,84,84,4,ITSPE,MT,199,0,CINZIA A,7,686479,29,182,15,33894,11,,,
28.564867,-13.260002,126,36,37,2,MTMTL,KR,332,0,C. INNOVATOR,8,465692,60,280,35,313999,17,,,
25.960052,-97.373848,1,186,68,4,US BRO,LR,228,0,NAVE CETUS,8,755823,32,188,20,74581,71,,,
17.361946,-17.342884,138,2,3,2,SN DKR,GB,295,0,BRITISH PARTNER,8,5474167,46,232,22,94442,18,,,
37.488892,-74.732803,59,203,202,2,US ORF,HK,366,-1,COSCO JASMINE,7,5615579,48,142,27,146772,11,,,
51.457298,-5.7952967,116,295,300,2,GB LIV,GB,175,0,OM BORNEO,8,730151,29,142,20,29013,88,,,
51.502571,0.48965833,0,4,78,4,GBLGP,PA,303,0,MSC LORETTA,7,409085,40,213,25,85802,11,,,
33.125694,-87.640419,40,18,31,2,US^0SCJ>0XSU,US,32,,ALICE PARKER,3,437036,10,17,6,0,54,,,
-3.4984384,-38.745419,1,327,92,4,BRPEC,MH,228,0,PRESINGE,7,3639872,32,202,21,81886,6,,,
45.288166,-0.76083332,113,161,158,2,"PAUILLAC, FRANCE",MH,183,10,CHARLINE,8,196741,32,151,6,50326,88,,,
53.559921,5.3675299,190,70,70,3,NLRTM>>DEHAM,DE,400,4,AL MURAYKH,7,3622574,58,158,29,199744,11,,,
43.281239,-79.828156,0,293,18,4,HAMILTON,CA,224,0,ATLANTIC HURON,7,383639,23,192,12,36920,156,,,
29.611923,-89.884842,45,290,290,2,USMSY,MT,299,-2,APL DANUBE,7,3139,48,124,24,116749,11,,,
27.155155,-79.77356,192,1,4,2,USPEF>>USEWR,HK,265,0,LAUST MAERSK,7,158146,37,193,13,63000,11,,,
26.96722,-16.039219,17,268,313,6,ESLPA,MT,183,0,SEAPROMISE,8,7120872,32,148,8,49990,88,,,
16.63965,-23.91436,103,119,114,2,CVSAL,LR,113,-2,BMI EXPRESS,7,335067,16,29,3,6252,11,,,
-10.230198,-27.795309,115,305,,49,BR PMA,PA,329,,NSU MILESTONE,7,459001,57,288,30,250446,8,,,
-10.169942,-27.880978,113,303,,16,,,,,[SAT-AIS],7,TkRNeE1Ea3dORE14TURrd05ETXhNQT09LXNlYmhpS2xKaXNZSzVrYUVwZVROVXc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine
56.077892,-2.5716434,0,10,266,4,GBGRG-FOR ORDERS,SG,160,0,EMILIUS,8,4757401,24,125,7,16920,19,,,
29.797792,-145.20662,45,208,,3,CLASS B,US,12,,MALIE KE KAI,9,445929,2,12,2,,,,,
34.685074,-13.198192,185,192,193,2,AEAUH,LR,366,0,MSC ILENIA,7,8113321,51,161,35,202562,11,,,
47.808422,-126.57457,121,56,57,2,CAVAN,MH,292,0,KSL CHINA,7,714626,45,256,23,179109,6,,,
43.247795,-86.255699,2,140,211,2,MUSKEGON,CA,192,9,ROBERT S. PIERSON,7,381541,20,152,6,20236,156,,,
17.444469,-88.193764,0,356,73,4,BZBZE,MH,128,0,LIAKI FREEDOM,8,712242,20,115,11,13116,88,,,
54.154114,7.4030118,91,89,89,2,NLRTM>DEHAM,LR,399,0,ONE INFINITY,7,7753334,61,130,44,225219,11,,,
45.411655,-83.784126,0,47,239,4,CALCITE,US,41,0,JOYCE L VANENKEVORT,3,431538,15,227,11,0,54,,,
28.67038,-17.614454,193,270,270,2,ESSPC,ES,138,0,BRENAS CARGO,7,5981,23,23,12,6165,12,,,
44.606098,-124.09192,61,241,245,3,DREDGING OPS,US,58,0,YAQUINA,3,430981,18,29,9,2943,73,,,
43.015629,-179.79883,146,81,,15,,,,,[SAT-AIS],8,TmpBd09EZ3hOakF3T0RneE5qQXdPQT09LUdnYlREZTdGMGRIRmpyVllyWkUxN1E9PQ==,,,,,,8,Tanker,Underway using Engine
-8.921278,-140.09537,1,99,196,4,TAIHOAE,PF,73,0,TAHITI NUI VIII,3,721376,16,51,3,1000,82,,,
19.31172,-18.792934,111,176,175,3,CNNSA,MH,179,0,SHAMAN WISDOM,7,196962,28,151,18,35052,6,,,
53.995987,-128.68816,0,248,176,4,KITIMAT,CA,40,0,HAISEA WARRIOR,3,8147314,7,10,0,429,54,,,
55.955612,-4.7604518,0,287,135,4,GBGRK,NL,172,,SLUISGRACHT,7,254266,25,157,12,21250,4,,,
47.154301,-156.4182,108,255,,16,,,,,[SAT-AIS],7,TWpjME1qWTVNamMwTWpZNU1qYzBNZz09LUlXYWw0YlMxVlozNk5HTGEwd0JJYXc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine
59.7705,-149.43362,88,193,178,349,FISHING,US,17,0,SILVER DOLPHIN,2,452150,8,14,3,0,37,,,
59.166187,-150.66365,103,232,,16,,,,,[SAT-AIS],2,TXpneU1qYzNNemd5TWpjM016Z3lNZz09LTBJdnRsVGRoT1Rqa1VYZk9MTEZrREE9PQ==,,,,,,2,Fishing,Underway using Engine
15.990243,-21.769798,126,208,203,2,BR RIO,NO,92,,SKANDI JUPITER,3,306881,22,32,10,3726,28,,,
27.481451,-115.79364,123,319,319,2,USLGB,BE,270,2,BRUGGE,8,7831305,46,230,16,157138,17,,,
36.355667,-13.15825,118,12,12,4,NL RTM,PA,334,0,ONE HANGZHOU BAY,7,465867,45,243,28,96980,11,,,
17.982973,-25.052387,106,21,23,3,NL AMS,LR,225,0,STAR SKY,7,5953480,32,196,11,81466,6,,,
24.549772,-80.944893,156,252,253,2,HOUSTON,US,186,0,INDEPENDENCE,8,3911705,32,150,19,49181,88,,,
51.733387,2.5270417,131,38,41,2,GBHTP,LR,333,0,AZURE NOVA,8,689370,60,276,26,319743,17,,,
-6.99406,-33.91431,151,212,,28,BRSUA,LR,299,,COPIAPO,7,1269633,48,126,18,104544,11,,,
-7.0402918,-33.942867,153,211,,15,,,,,[SAT-AIS],7,TlRVMk5EQXpOVFUyTkRBek5UVTJOQT09LVI0VkQ4Z2IrdklyTGk4OEJrd3hpVmc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine
44.410194,-63.402927,135,322,320,2,CAHAL,MT,366,0,CMA CGM PANAMA,7,5975189,51,110,29,157000,11,,,
49.861198,-6.8620715,,,202,3,LONGLINE>FISHING,GB,29,0,MAREIXON,2,183506,7,15,4,67,37,,,
39.505264,1.325955,148,217,216,2,MAPTM,MT,222,0,EXPRESS ARGENTINA,7,284731,32,170,9,44060,11,,,
