LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
25.597553,-79.84774,143.0,13.0,16.0,2,MILAZZO,LR,274.0,0.0,RED MOON,8,756062,48.0,229.0,19.0,160024.0,17.0,,,
36.778286,-25.790749,106.0,105.0,107.0,2,ITRAN,PT,199.0,0.0,POLSTEAM RUDNO,7,9415858,24.0,174.0,5.0,37630.0,9.0,,,
25.147181,-16.112907,136.0,20.0,24.0,2,GBFXT,JP,400.0,0.0,ONE TRADITION,7,5112492,58.0,143.0,25.0,196126.0,11.0,,,
37.627083,-72.106117,133.0,50.0,51.0,2,GBSOU,MT,349.0,0.0,CMA CGM FIDELIO,7,580,42.0,258.0,31.0,113964.0,11.0,,,
43.859417,-5.2440314,126.0,96.0,96.0,2,BILBAO,MH,199.0,0.0,YANNIS PITTAS,7,1285657,32.0,169.0,5.0,63243.0,6.0,,,
4.3503017,-46.464912,183.0,297.0,,9,,,,0.0,[SAT-AIS],8,TnpFMU9URXdOekUxT1RFd056RTFPUT09LW5DWW82M2tPeUtnY3c5WklCa0s1Z0E9PQ==,,,,,,8.0,Tanker,Underway using Engine
36.344604,-2.1865382,182.0,80.0,79.0,2,TRTEK,LR,366.0,0.0,MSC VIOLA,7,9181900,51.0,113.0,16.0,202060.0,11.0,,,
-3.0232334,-18.904915,195.0,309.0,311.0,3,USNYC,LR,335.0,0.0,MSC UTMOST VIII,7,753667,42.0,246.0,21.0,101597.0,11.0,,,
38.663185,-130.92886,175.0,280.0,281.0,2,QINGDAO,LR,333.0,6.0,MSC UBERTY VIII,7,754230,42.0,248.0,24.0,103614.0,11.0,,,
43.87772,-76.845093,126.0,248.0,249.0,3,HAMILTON,CA,222.0,0.0,OAKGLEN,7,381807,23.0,194.0,4.0,38289.0,6.0,,,
43.164787,9.1734667,123.0,94.0,96.0,2,FRFOS-ITGOA,PA,264.0,1.0,MSC TAMARA,7,415155,32.0,197.0,18.0,53335.0,11.0,,,
40.298168,-73.302666,30.0,225.0,225.0,2,EMPIRE FIELD,PA,201.0,0.0,THIALF,3,413401,88.0,28.0,44.0,129221.0,127.0,,,
53.750912,-4.5732183,40.0,140.0,171.0,3,GB LIV,NL,169.0,10.0,ROERBORG,7,253036,20.0,158.0,9.0,23260.0,144.0,,,
40.692257,-9.7933846,133.0,357.0,357.0,2,DEWVN,DE,399.0,0.0,GENOVA EXPRESS,7,9536760,61.0,115.0,32.0,224995.0,11.0,,,
13.000736,-54.426727,146.0,127.0,126.0,2,MYPKG,MT,268.0,1.0,CMA CGM PASSION,7,8900249,43.0,111.0,22.0,85558.0,11.0,,,
48.329826,-124.25045,108.0,113.0,114.0,3,USSEA,PT,299.0,0.0,MSC DESIREE,7,4852813,48.0,226.0,31.0,109802.0,11.0,,,
38.97052,-124.4396,81.0,339.0,342.0,2,CA VAN,PA,179.0,0.0,GREEN GEM,7,5748751,31.0,149.0,19.0,38503.0,6.0,,,
43.013485,-87.902534,12.0,123.0,85.0,2,KK BASIN,US,18.0,0.0,RUTH LUCILLE,3,448747,6.0,65.0,9.0,0.0,54.0,,,
-4.4289651,-13.600767,131.0,232.0,,10,,,,0.0,[SAT-AIS],7,TnpNMU1qVTBOek0xTWpVME56TTFNZz09LXd5d0l2di9lbHY4TUxXU3pUVjBBZ0E9PQ==,,,,,,7.0,Cargo Vessel,Underway using Engine
36.303734,-74.561882,167.0,3.0,3.0,2,PHILADELPHIA,PA,299.0,0.0,MSC LUDOVICA,7,407264,40.0,228.0,12.0,85882.0,11.0,,,
16.883562,-25.008175,2.0,130.0,47.0,3,CVMIN,MH,117.0,0.0,ECO DOMINATOR,8,4061933,18.0,94.0,14.0,5891.0,19.0,,,
34.894455,-8.8462763,177.0,60.0,59.0,2,MARSAXLOKK,LR,300.0,-1.0,MSC ADONIS,7,3603412,48.0,233.0,29.0,115639.0,11.0,,,
36.51469,-6.4553585,39.0,67.0,57.0,3,ESCAD,PA,183.0,-4.0,GOLDEN VOYAGER,8,7331327,32.0,149.0,12.0,49999.0,88.0,,,
32.682552,-79.725616,155.0,118.0,117.0,2,USCHS>USSAV,SG,299.0,0.0,MAERSK SHAMS,7,3720908,48.0,125.0,17.0,117175.0,11.0,,,
57.177753,-1.4427433,78.0,340.0,341.0,2,GB INV,BS,85.0,0.0,SHANNON FISHER,8,368909,17.0,73.0,9.0,5420.0,71.0,,,
42.74826,9.673563,111.0,159.0,158.0,2,CANAKKALE,PA,244.0,0.0,KARAVAS,8,417043,42.0,200.0,19.0,107505.0,17.0,,,
34.945702,-11.159075,128.0,26.0,25.0,2,PTSIE,PA,399.0,0.0,MSC HAMBURG,7,992387,54.0,163.0,19.0,186766.0,11.0,,,
36.559811,-1.73239,158.0,255.0,254.0,2,ESALG,NO,299.0,0.0,TRAIANO KNUTSEN,8,6189802,48.0,231.0,27.0,96354.0,18.0,,,
-7.8463082,6.7670398,178.0,338.0,338.0,2,TGLFW,PA,237.0,-5.0,MSC NEDERLAND III,7,416325,32.0,185.0,16.0,46600.0,11.0,,,
-9.8499699,1.2345034,192.0,136.0,135.0,2,COEGA,PT,299.0,0.0,MSC CHANNE,7,3664920,48.0,226.0,30.0,109495.0,11.0,,,
25.140415,-114.52493,103.0,134.0,128.0,2,PABLB,LR,199.0,0.0,ANDIAMO,7,5786882,29.0,171.0,10.0,63562.0,6.0,,,
43.918007,-3.9192083,86.0,162.0,164.0,2,ESSDR,PT,181.0,0.0,AUTO ECO,7,4167164,32.0,27.0,11.0,16995.0,122.0,,,
49.18042,-158.39072,185.0,111.0,112.0,3,PAPTY,PT,299.0,0.0,MSC ANTONELLA,7,3912526,48.0,223.0,19.0,110800.0,11.0,,,
28.05917,-16.283661,153.0,206.0,205.0,3,SINGAPORE,LR,344.0,0.0,YM TUTORIAL,7,7051223,48.0,0.0,24.0,135000.0,11.0,,,
36.192894,-24.513121,177.0,240.0,241.0,2,TTPTF,MH,299.0,0.0,CELSIUS GRANADA,8,8931064,46.0,237.0,21.0,92385.0,18.0,,,
49.381813,-5.2898335,83.0,247.0,248.0,2,CASEI,LR,299.0,1.0,BULK SANTOS,7,6213751,50.0,258.0,21.0,208445.0,6.0,,,
22.227388,-37.397186,166.0,138.0,138.0,2,INNSA,LR,294.0,0.0,MSC MEXICO V,7,755534,32.0,224.0,14.0,66686.0,11.0,,,
50.276897,-173.8494,148.0,91.0,94.0,1222,CLPPT,BE,300.0,2.0,MINERAL SLOVENSKO,7,9681153,50.0,252.0,29.0,210000.0,241.0,,,
