LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,ROT,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
25.597553,-79.84774,143,13,16,2,MILAZZO,LR,274,0,RED MOON,8,756062,48,229,19,160024,17,,,
42.139,-80.08252,0,11,,3,"ERIE,PA",US,50,,J.S.ST.JOHN,3,965443,9,37,6,968,35,,,
36.778286,-25.790749,106,105,107,2,ITRAN,PT,199,0,POLSTEAM RUDNO,7,9415858,24,174,5,37630,9,,,
25.147181,-16.112907,136,20,24,2,GBFXT,JP,400,0,ONE TRADITION,7,5112492,58,143,25,196126,11,,,
37.627083,-72.106117,133,50,51,2,GBSOU,MT,349,0,CMA CGM FIDELIO,7,580,42,258,31,113964,11,,,
43.859417,-5.2440314,126,96,96,2,BILBAO,MH,199,0,YANNIS PITTAS,7,1285657,32,169,5,63243,6,,,
4.3503017,-46.464912,183,297,,9,,,,,[SAT-AIS],8,TnpFMU9URXdOekUxT1RFd056RTFPUT09LW5DWW82M2tPeUtnY3c5WklCa0s1Z0E9PQ==,,,,,,8,Tanker,Underway using Engine
41.006626,-71.292442,0,223,140,3,SRW OWF,CY,231,0,BOKALIFT 2,3,6843407,49,49,22,54827,127,,,
34.467724,-114.28071,0,13,,3,CLASS B,US,9,,FLIPS AHOY,9,7505115,3,4,2,,,,,
36.344604,-2.1865382,182,80,79,2,TRTEK,LR,366,0,MSC VIOLA,7,9181900,51,113,16,202060,11,,,
-3.0232334,-18.904915,195,309,311,3,USNYC,LR,335,0,MSC UTMOST VIII,7,753667,42,246,21,101597,11,,,
38.663185,-130.92886,175,280,281,2,QINGDAO,LR,333,6,MSC UBERTY VIII,7,754230,42,248,24,103614,11,,,
52.258995,1.7977116,0,336,184,3,GBFXT > DEHAM,TW,399,0,EVER ARM,7,6945518,62,132,17,241960,11,,,
6.33112,3.3940151,0,205,112,3,NG LOS,PA,250,0,SABAEK,7,312710,44,206,22,120670,105,,,
43.87772,-76.845093,126,248,249,3,HAMILTON,CA,222,0,OAKGLEN,7,381807,23,194,4,38289,6,,,
43.164787,9.1734667,123,94,96,2,FRFOS-ITGOA,PA,264,1,MSC TAMARA,7,415155,32,197,18,53335,11,,,
17.444891,-88.191101,0,18,259,3,BZBZE,MH,128,0,LIAKI FREEDOM,8,712242,20,115,11,13116,88,,,
40.298168,-73.302666,30,225,225,2,EMPIRE FIELD,PA,201,0,THIALF,3,413401,88,28,44,129221,127,,,
53.750912,-4.5732183,40,140,171,3,GB LIV,NL,169,10,ROERBORG,7,253036,20,158,9,23260,144,,,
