LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,ROT,TYPE_IMG,TYPE_NAME,STATUS_NAME
63.814095,-21.184332,187,129,128,3,ISTHH,MT,193,LISTA,7,281728,26,119,13,11415,12,,,,
36.706421,-27.369095,165,65,68,2,ES VGO,MH,186,LEONIDAS Z,7,8710628,35,166,9,38733,11,0,,,
43.217972,-53.927582,106,94,94,2,BEANR,LR,294,MSC TRACY V,7,757559,32,222,11,67529,11,0,,,
43.400799,3.7375183,73,282,274,1,FRSET,LR,193,FRANCESCO NULLO,7,296664,26,120,14,11339,12,,,,
60.465366,-49.320698,98,154,153,2,BEGNE,MH,227,GOLDEN ERLING,7,8347319,36,195,14,84740,6,0,,,
16.753197,-22.984579,0,202,332,3,CV PAL,PT,118,HERBEIRA,7,858094,15,14,14,7796,9,0,,,
55.575218,-1.1849216,75,334,331,1,GBMON,BS,85,SOLWAY FISHER,8,369040,17,73,10,5422,71,0,,,
6.7583332,-85.131668,110,339,,16,,,,[SAT-AIS],8,TWpBNE5URXhNakE0TlRFeE1qQTROUT09LUEyVFNvTVZobkNBSGxqZCtmM3d6UEE9PQ==,,,,,,,8,Tanker,Underway using Engine
15.957229,-61.330841,0,117,147,6,GP MG,MT,64,BAHAMA BLUE,8,5825534,12,53,4,1866,71,0,,,
24.529053,-16.457464,130,203,205,2,PORT KAMSAR,LR,229,MSXT EMILY,7,6977213,36,197,13,85267,6,0,,,
5.41119,-14.008568,141,283,,1013,US HOU,MH,179,EAGLE EXPLORER,8,7407354,29,145,8,28847,19,,,,
6.4000001,-17.916666,140,284,,15,,,,[SAT-AIS],8,T0RRNE1Ua3hPRFE0TVRreE9EUTRNUT09LWY0aXRPWWJHR2VwQzA1b3lYcDZqUmc9PQ==,,,,,,,8,Tanker,Underway using Engine
