LAT,LON,SPEED,COURSE,HEADING,ELAPSED,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,DESTINATION,ROT,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME
44.5158,-80.566589,,,,3,--,0,VTS 3160069,0,24907,0,,,,,,,,,
38.638031,-30.12929,101,58,59,2,GB,123,ONEGO ISLE,7,199822,17,DKAAL,0,115,4,11183,9,,,
43.622334,-3.9914999,131,274,275,2,PT,134,ELI A,7,205997,22,ESALG,-3,127,11,11403,11,,,
43.491585,-5.9419332,,,,3,--,0,VTS 2241118,0,21994,0,,,,,,,,,
48.08012,-6.5859351,103,201,210,2,PA,288,DODO,7,459919,45,EGPSD,0,251,17,176760,6,,,
39.015495,-24.624285,146,259,262,3,PT,119,CORVO,7,104741,19,PTPRV,0,95,10,8893,9,,,
65.544174,-12.264622,37,284,290,3,IS,36,BYLGJA,2,3544199,8,,0,15,5,600,43,,,
37.917606,-87.868172,22,316,307,2,US,15,MARTY B,0,9167449,7,,0,2,5,,,,,
56.479073,-132.90247,101,265,262,3,US,30,PACIFIC WARRIOR,3,434121,9,"KODIAK, AK",0,10,4,0,54,,,
50.332363,-1.028855,195,257,257,2,DE,400,AL DAHNA EXPRESS,7,3750221,58,NLRTM > OMSLL,0,158,19,199744,11,,,
49.246735,-11.212029,146,259,256,2,LR,272,MSC ROUEN,7,9297663,43,FRLEH - USCHS,-1,108,12,91729,11,,,
36.116741,-3.2268066,140,267,265,2,LR,299,MARGRET OLDENDORFF,7,756237,50,GIBRALTAR,0,257,29,208086,6,,,
9.5530863,-86.440788,186,295,295,2,MT,294,CMA CGM MANTA RAY,7,278735,32,USLAX,0,261,16,68008,11,,,
41.187214,-72.22168,123,206,205,2,US,96,CAPE HENLOPEN,6,442061,15,NL TO ORIENT FERRY,0,18,6,1600,116,,,
66.599754,-24.150471,37,338,1,2,IS,81,THERNEY RE 1,2,6125485,20,,0,15,10,4500,140,,,
15.07293,-18.89863,108,179,175,3,MH,199,RUBY,7,3597423,32,INIXY,0,171,9,61286,6,,,
64.494965,-165.43787,0,30,,2,US,30,ZOLOTOI,3,450991,10,NOME,,6,8,0,59,,,
43.344646,-69.48201,25,6,,2,US,18,JOCKA,2,894081,5,,,5,1,0,37,,,
34.673512,-40.549713,126,254,,5,,,[SAT-AIS],8,TWpjMU5EUTNNamMxTkRRM01qYzFOQT09LW1IRTRYa0tlM0N5dEUwRjVJSnl3dXc9PQ==,,,,,,,,8,Tanker,Underway using Engine
46.157608,-1.230335,0,233,53,2,NO,199,LIVITA,7,4856097,32,FRLPE,0,171,10,63532,6,,,
43.455425,-6.8221035,,,,3,--,0,BOAL,0,21995,0,CLASS B,,0,0,,,,,
65.071983,-23.731966,5,28,164,2,IS,93,THOR,3,294712,16,COAST GUARD,13,0,0,2089,45,,,
60.756508,9.0539913,,,,5,NO,506,TEST VATON,1,5589534,38,,0,0,0,,,,,
38.205887,-14.610078,141,204,205,5,NO,113,FRAM,6,1192168,26,CV MIN,-2,20,13,984,116,,,
30.278254,-50.312927,187,261,263,3,LR,199,DONINGTON,7,4832898,38,US GLS,,25,29,18241,122,,,
56.024834,4.4888334,108,191,183,5,AG,175,BULKNES,7,364607,26,GBNFT,0,148,8,33171,156,,,
62.510208,5.2844768,123,30,26,2,SE,149,RAMELIA,8,5948007,23,NO ALF,0,119,17,17994,88,,,
42.008606,-124.52229,12,153,225,2,US,19,NOYO DAWN,2,4755521,8,,,6,4,0,37,,,
36.342449,-24.507917,113,89,93,2,GR,196,AMFITRITI,7,285938,32,IL HFA,0,164,9,58814,6,,,
45.718262,-2.1441584,121,284,285,2,IT,149,PRIMO M,8,9328923,23,FRPJE,0,129,5,18669,88,,,
49.558155,-54.438393,108,273,270,3,CA,80,VETERAN,6,3536562,17,FOGO ISLAND,9,21,18,928,116,,,
38.63612,-72.562248,133,239,236,2,SG,228,KN BLOSSOM,7,6647117,32,DKSKA>USNNS,0,197,21,82032,6,,,
39.750534,-11.720123,123,27,32,3,PA,209,GREEN OSAKA,7,9595830,36,NLVLI,3,180,23,73641,241,,,
35.985081,-5.5296469,141,251,252,2,LR,274,MOTELE OLA,8,213843,48,US CRP,0,229,30,156853,17,,,
28.185116,-13.206516,98,218,222,3,LR,127,KPS ARYA SULTAN,8,730694,20,SL FNA,0,106,10,12910,16,,,
43.831047,-91.279388,18,121,,2,US,18,MRS. P,0,5929213,8,USXGR-USLSE,,4,5,,,,,
39.371944,-81.288803,0,164,69,5,US,125,GALVESTON BAY,3,5572855,18,US^0WAB>0C15,0,108,9,,,,,
54.240891,7.4327683,20,290,326,4,HK,275,FRONT SHANGHAI,8,5822403,48,DE WVN,4,226,26,158006,17,,,
46.781876,-7.5302682,182,20,202,3,MT,398,CMA CGM KERGUELEN,7,3144024,54,MYPKG,,145,27,194772,11,,,
43.802094,-9.5282421,116,27,29,2,PA,239,OCEAN BLUE,8,7933713,44,ROTTERDAM,-2,199,15,113607,17,,,
48.505981,-68.856483,80,57,53,2,PA,229,PREVAIL STAR,7,6090689,32,CA PCA,0,198,12,81055,6,,,
47.494793,-88.211403,91,257,257,2,US,39,VICTORY,3,447053,13,DULUTH,0,220,10,843,109,,,
41.548286,-69.390228,163,326,316,3,US,12,HOOKED UP,2,6700824,4,CLASS B,,6,2,,,,,
38.774158,0.51622665,131,19,19,2,LR,199,LAKE SHIRASAGI,7,9177742,38,ES TAR,0,35,17,19046,122,,,
42.353329,-82.935104,101,64,66,2,CA,225,ALGOMA ENDEAVOUR,7,9416086,24,SARNIA,0,211,14,36922,156,,,
16.571304,-24.41604,177,102,101,3,CV,45,LIBERDADI,6,747801,12,CV TAR,,17,5,92,116,,,
53.214394,1.3243183,163,324,327,2,LR,137,CORAL FURCATA,8,727403,19,GB BFB,0,111,15,10422,18,,,
49.499565,-7.0157952,103,192,195,2,PA,139,SAPIENZA,7,462781,25,TR BTN,0,115,8,18917,6,,,
37.785843,-122.57151,141,245,245,2,LR,335,MSC FLORA,7,9537377,46,LOS ANGELES,-1,95,28,139897,11,,,
35.467934,-6.4107418,156,227,231,2,DK,299,MAERSK LONDRINA,7,5306270,45,MAPTM>BRSSZ,0,226,35,99777,11,,,
38.295532,-76.304489,0,210,352,5,LR,229,W SAPPHIRE,7,758725,32,H1 ANCHORAGE,0,200,10,81681,6,,,
50.478931,0.76265168,182,75,76,2,PA,303,MSC LORETTA,7,409085,40,GBLGP,0,213,25,85802,11,,,
49.768448,-3.6318901,121,244,245,2,PA,229,TRUSTN TRADER,7,7800730,32,USCNV,0,199,22,82231,6,,,
47.818104,-5.4752865,133,127,132,2,MT,199,SEAHARMONY,7,1141392,32,FR LPE,-6,169,12,62770,6,,,
45.306355,-85.246346,0,0,,2,US,16,ECHAPPE,9,436139,5,CLASS B,,10,1,,,,,
40.721432,-89.546959,35,2,353,4,US,103,SUGARLAND,3,3351912,25,US^0D22>05JW,0,71,23,,,,,
27.481855,-15.245295,201,195,195,3,LR,366,MSC OLBIA,7,9210648,51,PORT KLANG,1,116,38,201064,11,,,
35.482094,-2.95156,96,104,105,3,ES,102,GERNIKA NM,7,8559039,15,MANDR,0,89,5,6500,9,,,
41.151978,3.8384399,123,58,53,2,LR,334,MSC TIANPING,7,152547,42,ESVLC-ITSPE,0,247,15,101491,11,,,
64.343414,7.7224665,6,100,49,2,NO,89,SIEM PRIDE,3,3631003,18,DRAUGEN,20,9,7,5071,132,,,
6.0913234,2.2890184,120,67,,2,LR,199,BULK BEQUIA,7,728274,32,BJ COO,,171,9,61309,6,,,
57.375828,-5.508985,3,14,258,2,NO,79,RONJA STAR,2,7230207,18,FISHFARM,,25,10,5200,84,,,
27.840769,-13.579184,106,32,35,3,GR,291,ALPHA LIBERTY,7,5734995,45,FR FOS,0,249,16,179276,6,,,
28.875,-93.20826,126,0,2,3,MH,178,DEVBULK SALIHA,7,714279,28,US LCH,0,154,10,31018,9,,,
15.403617,-17.783684,190,180,180,2,DK,399,MARY MAERSK,7,155798,59,NLROT>MYTPP,-1,146,30,213970,11,,,
57.729725,9.3900652,197,237,237,2,LR,366,MSC CALYPSO,7,7728151,51,BEANR,0,110,30,154700,11,,,
42.513763,5.6909485,126,72,69,2,LR,185,GREEN PARK,7,8837759,35,ITGOA,-2,145,24,37231,11,,,
50.135666,-5.0261683,78,1,359,2,CY,136,GATEWAY,3,123820,28,FALMOUTH,0,27,12,21200,73,,,
37.448845,-134.86385,181,138,137,2,PT,299,MSC ANTONELLA,7,3912526,48,PAPTY,1,223,19,110800,11,,,
-7.1586099,9.7099123,128,246,,391,LR,179,MEL GRACE,7,460793,29,FOR ORDERS,,154,10,38225,6,,,
-7.7568083,8.4913588,123,243,,5,,,[SAT-AIS],7,TlRneE56SXlOVGd4TnpJeU5UZ3hOdz09LWdSc2Zqa2tXYmtFN0EzUGwwMUVXTmc9PQ==,,,,,,,,7,Cargo Vessel,Underway using Engine
32.875557,-48.50716,153,65,,413,GR,290,MARAN GAS LETO,8,3865610,46,FOR ORDER,,226,24,92846,18,,,
33.499207,-46.526932,153,70,,5,,,[SAT-AIS],8,TlRRM05qVTNOVFEzTmpVM05UUTNOZz09LWRYT0RYZm1MYWlBeEppbENySGkzYkE9PQ==,,,,,,,,8,Tanker,Underway using Engine
62.763634,5.5005832,96,238,231,3,NL,116,STELLA POLARIS,8,263645,17,NOSTE > NLRTM,0,97,10,8297,88,,,
51.967506,4.0885415,49,189,195,2,PA,399,EVER ALOT,7,6991950,61,SGSIN>NLRTM,2,128,15,241815,11,,,
32.69688,-17.49073,116,205,204,2,PA,179,PARIS TRADER,7,7763186,30,SANTOS,0,151,18,40292,6,,,
21.599285,-20.133434,172,33,37,2,LR,314,MSC GAYANE,7,5318625,48,BRPCM>>ESLPA,-1,108,27,120500,11,,,
51.277851,-4.3148799,175,83,84,2,MH,199,MORNING PROSPERITY,7,5073402,35,GBBRS,0,31,16,22438,122,,,
53.560692,-4.0747185,126,270,268,2,PA,138,NACC INDIAN,7,728783,22,ES ALG,0,109,15,16061,70,,,
45.636017,-54.272766,131,64,63,2,MT,349,CMA CGM FIDELIO,7,580,42,GBSOU,0,258,31,113964,11,,,
37.073112,-15.895369,125,101,101,2,MT,268,CMA CGM ENDURANCE,7,8563995,43,ESALG,0,111,22,85620,11,,,
39.731873,-75.501076,83,17,17,4,MT,243,SEALEO,8,281480,42,USPHL,-1,211,26,107505,17,,,
50.595528,-0.88178003,108,154,145,2,LR,333,AZURE NOVA,8,689370,60,GBHTP,-2,276,26,319743,17,,,
51.346607,3.1857266,0,237,51,5,HK,399,OOCL SWEDEN,7,8761649,61,DEWVN>BEZEE,0,131,44,224911,11,,,
50.23946,-0.40756333,101,76,78,2,PT,299,HEIDE OLDENDORFF,7,6787304,50,NLRTM,0,257,32,208000,6,,,
45.815388,-84.738907,133,91,90,2,US,306,MESABI MINER,7,429062,32,SILVER BAY,0,283,13,64457,156,,,
34.113277,-9.2390633,101,43,43,2,MT,290,MYSTIC,7,288259,45,ISDEMIR,2,245,18,169879,6,,,
57.802719,10.469133,177,86,85,2,DK,399,MUNKEBO MAERSK,7,1520600,60,DEBRV-->DKAARPT,1,146,31,194690,11,,,
49.017815,-7.8501635,106,250,248,3,MH,274,SEAWAYS COLORADO,8,713252,48,FOR ORDERS,0,229,26,158614,17,,,
40.502151,-29.88273,156,249,,248,LR,229,NILE RIVER,8,8041367,37,USHOU,,186,19,58666,19,,,
40.116207,-31.137947,151,247,,5,,,[SAT-AIS],8,TlRNME9UVTFOVE0wT1RVMU5UTTBPUT09LXVNZGZqeUZrYldLYW5XSXZpZzVESUE9PQ==,,,,,,,,8,Tanker,Underway using Engine
57.999672,6.2044535,70,308,305,2,BS,276,MARAN TIDE,8,6255947,46,ASGARD,0,222,29,129632,197,,,
66.882935,-23.354689,35,149,132,2,IS,57,JULIUS GEIRMUNDSSON,2,292133,12,REYKJAVIK,0,12,6,771,43,,,
-3.5770867,-19.732138,182,308,310,2,LR,285,MSC UNIFIC VI,7,727597,40,USNYC,0,213,1,63180,11,,,
30.4028,-87.211403,0,112,170,5,US,205,DEWAYNE T WILLIAMS,3,442554,32,NUNYA,0,0,0,26949,171,,,
27.131149,-14.408633,166,41,41,2,DK,399,MARIT MAERSK,7,3447397,59,MYTPP>ESALR,0,146,30,214733,11,,,
