LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,ROT,TYPE_IMG,TYPE_NAME,STATUS_NAME
52.990021,11.753285,0,,,8,,DE,36,ELBSTROM,3,135445,9,24,2,0,48,,,,
25.169954,53.546494,135,251,256,8,AERUW,LR,249,ELANDRA SWALLOW,8,7863316,42,206,13,115000,17,0,,,
31.484818,32.336102,1,28,90,8,EG PSD,GN,274,SORION,8,212086,48,231,15,159083,17,0,,,
32.681801,31.336893,113,311,309,8,FOR ORDERS,BM,297,GASLOG WELLINGTON,8,6628769,47,235,25,93695,18,0,,,
6.1981702,91.428337,133,275,267,8,SIN PEBGC>>>>INSIK,HK,249,SEAODYSSEY,8,4268240,44,204,15,113176,71,-6,,,
59.628922,23.305771,106,254,253,8,BR STM,LR,179,ECO CROSSFIRE,7,5693119,28,154,20,33649,6,0,,,
57.491474,8.6249552,88,232,232,8,KE MBA,MT,180,CAPE BYRON,7,411782,30,148,22,33752,6,5,,,
54.544361,10.473915,79,246,246,8,GBIMM,CY,139,ELBRUNNER,7,755828,22,128,11,11007,11,0,,,
50.294601,3.6315184,,,,9,,--,0,VTS 2268140,0,22155,0,,,,,,,,
52.807487,1.8753867,163,110,114,8,BE ZEE,MT,162,VICTORINE,7,117309,25,21,12,9755,12,0,,,
43.528118,-3.2511482,162,309,310,8,ESVGO,CY,134,WEC VERMEER,7,121652,22,120,10,12752,11,0,,,
-0.61894,8.435873,123,243,247,9,AO DJY,MH,336,SEAWAYS EXCELSIOR,8,7759891,60,280,30,300000,17,4,,,
50.029667,10.5065,40,104,,9,ASCHACH,BE,135,MARCO POLO,7,113338,11,120,2,,61,,,,
38.755535,17.864424,86,33,33,8,ITBDS,PA,183,MANTA ANKA,8,415472,29,145,23,28263,19,2,,,
54.691151,12.60859,116,56,55,8,FOR ORDER,PA,229,BALU 6,8,755007,42,194,16,105391,17,0,,,
49.359814,0.99036831,0,27,222,11,FR URO,MT,199,SEAHARMONY,7,1141392,32,169,12,62770,6,0,,,
57.443199,11.492653,146,14,23,8,SEGOT,DK,195,ARK GERMANIA,7,157408,30,0,15,12000,12,3,,,
49.744633,-4.6147418,113,257,255,8,NEW ORLEANS,SG,229,AQUILA OCEAN,7,5433621,32,200,10,82071,6,0,,,
56.478985,11.708758,105,53,51,10,BRSSZ,MT,179,NORD BRAVE,7,465474,28,153,20,33745,6,0,,,
57.734921,8.6592569,91,85,89,8,NOMON-SEGOT ANC,FI,249,JAARLI,8,6721891,44,203,18,112459,17,0,,,
63.200188,7.2983232,103,61,64,9,NOGJM,CY,137,FREYJA W,7,9358278,21,124,6,12000,9,0,,,
54.648468,12.40483,60,236,237,8,SG FOR ORDERS,LR,243,ANEMONI,8,374057,42,201,17,105559,17,0,,,
56.336658,6.7886248,192,28,28,8,GOTEBORG,LR,367,MSC ANNABELLA,7,9676887,51,101,27,173067,241,0,,,
40.298214,1.4833634,116,225,227,8,VALENCIA,PA,294,MSC MATILDE V,7,412843,32,238,19,70753,11,0,,,
1.2605367,73.539268,121,54,53,8,LK TRR,LR,190,VSC TRITON,7,756172,32,161,11,55848,6,0,,,
26.492617,50.201435,1,129,12,8,DAMMAM,MT,200,NICOS TOMASOS,7,713531,32,169,12,63038,6,0,,,
58.096699,20.343496,120,203,202,8,DKSKA,BS,276,MARAN TIDE,8,6255947,46,222,29,129632,197,0,,,
