LAT,LON,SPEED,COURSE,HEADING,ELAPSED,DESTINATION,FLAG,LENGTH,SHIPNAME,SHIPTYPE,SHIP_ID,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE,TYPE_IMG,TYPE_NAME,STATUS_NAME,ROT
21.12295,-31.709547,156,34,36,215,RAUMA,NL,172,SPUIGRACHT,7,258684,25,156,15,21349,4,,,,
21.830364,-31.147747,158,33,,13,,,,[SAT-AIS],7,TkRVME9UTTNORFUwT1RNM05EVTBPUT09LU5IaDFGWTFob2lwVkhtQW5naHBieUE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
30.191429,-13.83175,177,24,26,1,SINES,LR,367,MSC NERANO,7,9697142,51,101,27,173067,11,,,,0
41.995293,-164.02475,196,88,,13,,,,[SAT-AIS],7,TnpFeU1UYzROekV5TVRjNE56RXlNUT09LWQ0WGFnMHVpK08yempmSzZ0NVRlQUE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
-2.6422982,-164.26064,25,82,,13,,,,[SAT-AIS],2,TlRNME5EWXpOVE0wTkRZek5UTTBOQT09LWhBdFNTZDg1L2VDRGc1SGpZWUVvcXc9PQ==,,,,,,2,Fishing,Underway using Engine,
31.728764,-118.24743,15,110,102,809,PAL USWC>CNJYG,FR,336,DIA,8,3654936,60,281,28,299999,17,,,,0
30.720774,-120.49786,123,256,,13,,,,[SAT-AIS],8,TWpZM09Ua3dNalkzT1Rrd01qWTNPUT09LWF0WjlVVW9NMTlIK2Z6R0laS0xxM2c9PQ==,,,,,,8,Tanker,Restricted Manoeuvrability,
-7.7390666,-80.496399,158,333,331,1,EC PBO,LR,278,MSC FOLEGANDROS VI,7,754858,40,206,14,67170,11,,,,0
-6.2013332E-2,-51.167213,0,163,86,3,BR MCP,JP,209,ASTRANTIA,7,459718,36,182,23,58758,10,,,,0
25.266203,-114.62473,185,125,126,914,PAPCN,LR,299,CORCOVADO,7,2572578,48,122,19,104544,11,,,,0
22.553333,-110.64,180,126,,14,,,,[SAT-AIS],7,TmpVME16SXpOalUwTXpJek5qVTBNdz09LW5QbXBWUzhBNUcyZURacXgrSTRsSUE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
-9.8879433,-32.404907,133,202,,13,,,,[SAT-AIS],7,T0RVME9ESXhPRFUwT0RJeE9EVTBPQT09LVp6S3I2ZWZibDQzUjdsbG9jV2xVY3c9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
31.152813,-117.19286,126,158,163,592,CL ANG,PA,122,CENA FAITH,7,417169,19,108,14,9070,9,,,,0
29.285,-116.42167,120,161,,15,,,,[SAT-AIS],7,T0RBNU16RTVPREE1TXpFNU9EQTVNdz09LTFPUnhJTS8vNEtwYndiTFhnQWdNWlE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
38.083332,-68.893333,80,308,,15,,,,[SAT-AIS],7,TlRRM09ESXlOVFEzT0RJeU5UUTNPQT09LUYxK0tMQ2xiWEI2aTdxR1pLQ05mb1E9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
2.8826549,-41.313072,116,123,128,1230,KR YOS,MH,336,PASCAGOULA VOYAGER,8,5775057,60,283,34,318608,17,,,,0
0.63756168,-38.030174,118,123,,14,,,,[SAT-AIS],8,TmprME9UUTVOamswT1RRNU5qazBPUT09LXh4OEt6VkNvZTJYWjVMQmQwNGxDV1E9PQ==,,,,,,8,Tanker,Underway using Engine,
0.66988832,-91.692574,91,166,147,2,RK.REDONDA,EC,21,CACHALOTE EXPLORER,9,5591215,7,5,6,0,55,,,,
50.084076,-65.255836,130,268,269,2,SEPT LLES/CANADA,LR,299,FPMC B IMAGE,7,755514,50,260,30,206699,6,,,,0
15.790163,-101.76423,141,11,120,559,PA AML,LR,333,ALMI HYDRA,8,372011,60,283,35,319357,17,,,,
14.938565,-99.749832,126,112,,13,,,,[SAT-AIS],8,TnpnME5qQTBOemcwTmpBME56ZzBOZz09LUZyZVVOQWFEVDA1aCtPVjQxSEdGVWc9PQ==,,,,,,8,Tanker,Underway using Engine,
31.475754,-34.111633,116,79,,15,,,,[SAT-AIS],8,TXpreU16STVNemt5TXpJNU16a3lNdz09LW1CQW05R2h4M0JweXlMN1JFd2xHVkE9PQ==,,,,,,8,Tanker,Underway using Engine,
38.97168,-152.51015,118,97,,13,,,,[SAT-AIS],7,TlRnMU5ETTVOVGcxTkRNNU5UZzFOQT09LVNZZktSdXJhVlFBNFArZUIyMUQ5T0E9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
-9.1425829,-27.869577,125,126,,14,,,,[SAT-AIS],8,TnpRNE5ETTJOelE0TkRNMk56UTROQT09LUg3YkN4anlxdmdMeUlPOGVrVzdCZFE9PQ==,,,,,,8,Tanker,Underway using Engine,
27.962852,-156.47543,125,280,,14,,,,[SAT-AIS],7,TkRreU16STRORGt5TXpJNE5Ea3lNdz09LTB6dUwwcUtlam1pdldBSE9kWS8xc2c9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
31.011627,-147.45239,123,299,,13,,,,[SAT-AIS],7,TWpNeE56TXhNak14TnpNeE1qTXhOdz09LVpYSUxvWVhmS0E3a2NmZTNKdXVaa2c9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
40.548336,-51.518478,106,270,,14,,,,[SAT-AIS],8,TXpBM01EQXhNekEzTURBeE16QTNNQT09LUdpMjgycjExQWVQQXhiTVhpa2p2dFE9PQ==,,,,,,8,Tanker,Underway using Engine,
13.7255,-17.534744,1,28,101,9,SANGOMAR OILFIELD,BS,327,FPSO LEOPOLD SEDAR S,8,3215,58,340,30,225380,56,,,,0
47.030178,-151.89044,80,250,,15,,,,[SAT-AIS],7,TWpjMU1qWTFNamMxTWpZMU1qYzFNZz09LU13N3BPUG5KMWlHYzJPVE5ZMENndHc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
-6.6897182,-18.590612,70,159,,14,,,,[SAT-AIS],2,TXpRd05qSXpNelF3TmpJek16UXdOZz09LWU0UDNJcDgwbTFLUTMwT2h0NzYrNkE9PQ==,,,,,,2,Fishing,Underway using Engine,
2.7708266,-100.26483,110,132,,14,,,,[SAT-AIS],8,TVRVME16VTFNVFUwTXpVMU1UVTBNdz09LWV6eEl2UURMdklNZ2EvaWUyQ2RSdHc9PQ==,,,,,,8,Tanker,Underway using Engine,
20.662447,-105.25117,0,243,32,6,CRUISING,MH,34,ALBATROSS,9,715554,8,17,4,53,55,,,,0
-4.9160633,-36.256828,0,202,,13,,,,[SAT-AIS],3,TVRZM01UQTJNVFkzTVRBMk1UWTNNUT09LUNpdk95NVlLa2NJL0JuRml1UWp5b3c9PQ==,,,,,,3,Tugs & Special Craft,Underway using Engine,
64.27182,7.2513652,2,67,311,3,NJORD FIELD,NO,232,NJORD BRAVO,8,6579836,41,25,22,95000,56,,,,0
-9.8027983,-139.03094,1,52,,3,CLASS B,BE,12,FILOU DE MER,9,8204511,7,3,5,,,,,,
43.762245,-4.0014133,123,283,282,2,ALGECIRAS,HK,275,FRONT SANTIAGO,8,5833084,48,226,26,157271,17,,,,0
35.873375,-33.888351,98,265,,13,,,,[SAT-AIS],7,T1RJd05UUTJPVEl3TlRRMk9USXdOUT09LXNZMzlaZEUzZGdFRHU1WG40SlZQTFE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
-9.8410969,-29.93066,121,198,,13,,,,[SAT-AIS],8,TWpnek1qWTNNamd6TWpZM01qZ3pNZz09LTlZSjNMRXI1RklZSmRGNjBqNk52b3c9PQ==,,,,,,8,Tanker,Underway using Engine,
21.587112,-85.41272,118,319,,4,US MSY,SG,199,NORSE SUCCESSION,7,9614994,32,175,20,66280,6,,,,
-4.0683331,-19.643333,110,313,,14,,,,[SAT-AIS],7,TXprMk5qQXhNemsyTmpBeE16azJOZz09LUg3V0IvR3VPR1JtcFJzazdLL3NtOFE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
41.664879,-71.52179,,,,1,,--,0,VTS 3660620,0,25564,0,,,,,,,,
43.659725,-70.242516,0,161,61,3,US PWM,BS,186,SILVER SHADOW,6,368999,24,36,15,2980,23,,,,0
28.347647,-13.434615,136,211,211,1,SANTOS,CN,201,ZYHY JIN QU,7,5901786,33,171,7,62045,9,,,,0
4.8059168,-1.2886484,138,63,60,2,GHTEM,LR,346,MSC ABY,7,157755,42,245,29,110387,11,,,,0
35.297237,-6.6089401,111,39,41,1,ESALG,KR,400,HMM ROTTERDAM,7,6213957,61,128,27,228600,11,,,,0
15.83973,-18.545839,126,5,6,2,GIGIB,SG,149,FAIRCHEM VALOR,8,5849546,24,120,17,22292,88,,,,0
53.715099,0.39077833,64,174,175,1,GBTEE>GBTTL,BS,253,PENELOP,8,370635,44,210,24,115091,17,,,,0
24.646839,-158.61958,48,126,,15,,,,[SAT-AIS],2,TVRneU1qUTJNVGd5TWpRMk1UZ3lNZz09LWdXazcvVXZiakFjc0hlT0pINExUWmc9PQ==,,,,,,2,Fishing,Unknown,
37.570713,-42.166336,93,81,,893,GIGIB,CY,228,CYMONA OCEAN,7,9651287,32,199,21,82111,6,,,,
37.810539,-39.437275,96,81,,15,,,,[SAT-AIS],7,TnpFek16UTNOekV6TXpRM056RXpNdz09LVVWdGJka3pQVkFFb2dFN3psQXVqOUE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
7.0478582,-53.658386,113,119,,137,BRBEL,LR,147,SATMAR,8,5187944,23,116,13,14999,19,,,,
6.8334317,-53.313896,118,120,,13,,,,[SAT-AIS],8,TmpVMk1EVXhOalUyTURVeE5qVTJNQT09LVJaVHZ2SFFhUGNLbFlrcGMzMnZiRFE9PQ==,,,,,,8,Tanker,Underway using Engine,
16.509138,-64.341652,190,283,285,193,DO SDQ,PA,199,MORNING CLAIRE,7,464946,32,24,24,16491,122,,,,0
16.744986,-65.300972,187,283,,13,,,,[SAT-AIS],7,TkRNNE1qRTJORE00TWpFMk5ETTRNZz09LXIrMDJpamdVT1d6V2ZURStxemE2cWc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
17.157763,-18.794432,101,357,356,2,ESALG,KR,399,HMM ST PETERSBURG,7,6334768,62,128,27,229039,11,,,,0
36.818867,-156.15326,166,267,,13,,,,[SAT-AIS],7,TnpnM01UQXhOemczTVRBeE56ZzNNUT09LW1nNy9QNVFQREJHN29BZU5GeTRjYkE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
17.684999,-81.35833,120,132,,15,,,,[SAT-AIS],8,T0RVM05EUTVPRFUzTkRRNU9EVTNOQT09LTgveXBRT2RiUXI2UXZrRm9BRE5ERnc9PQ==,,,,,,8,Tanker,Underway using Engine,
11.830809,-70.31559,0,243,142,2,A,TZ,332,SOLDIER,8,733160,60,280,21,320840,17,,,,0
18.4678,-63.737835,130,322,322,1,AU DE PRINCE,LR,183,FEW BPS,8,214008,32,149,8,51601,88,,,,0
45.611454,-4.2486148,145,343,345,1,NLRTM,MH,160,EAGLE II,7,205553,25,138,18,16986,11,,,,-8
-7.3624001,-3.8148317,181,141,140,486,SINGAPORE,MH,200,HAI HE KOU,7,8941902,38,28,31,18000,122,,,,-4
-9.29142,-2.3715367,182,141,,14,,,,[SAT-AIS],7,T0RJeE5EVXdPREl4TkRVd09ESXhOQT09LVdodFBiTk5lREsvSXVMOUZ3RGpLeWc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
57.701126,-6.5582199,111,42,39,1,GBSTO,MT,189,BUZLUDJA,7,6055019,31,167,24,45516,6,,,,0
25.112852,-124.36478,111,75,76,1251,MXZLO,MH,199,HG HOUSTON,7,9664373,32,177,21,63569,6,,,,0
24.006506,-120.25205,118,108,,13,,,,[SAT-AIS],7,TVRrMk56YzJNVGsyTnpjMk1UazJOdz09LTE0UmFMVlNoZjV2ckQvdXo3TDFISFE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
18.563332,-33.630119,98,235,,15,,,,[SAT-AIS],9,TnpJNU5UQTROekk1TlRBNE56STVOUT09LVdXVDF1SitORkp4V0xTcWs2OXd2K1E9PQ==,,,,,,9,Pleasure Craft,Underway using Engine,
27.956715,-166.97929,172,85,,13,,,,[SAT-AIS],7,TkRrM016WTJORGszTXpZMk5EazNNdz09LUd2cmlnKy90ek5SemM2T1BDMHViTHc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
1.9990816,-157.6936,128,272,271,159,ZHOU SHAN,NR,115,YUN RUN 1,7,668939,17,89,5,5092,21,,,,0
2.0401165,-158.25648,141,274,,13,,,,[SAT-AIS],7,T1RNME1UVXhPVE0wTVRVeE9UTTBNUT09LTk1NXlxU1dxSnIxQmViUW9lQTlKOFE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
5.6147285,-8.8716671E-3,0,321,244,2,CIABJ>>GHTEM,PA,366,MSC IRENE,7,6260703,51,145,36,162867,11,,,,0
9.5202703,-79.926491,5,222,220,4,PA CRISTOBAL,JP,316,ONE COMMITMENT,7,714215,45,227,14,89880,11,,,,0
32.060246,-137.90144,118,105,,14,,,,[SAT-AIS],7,TnpJd016UTFOekl3TXpRMU56SXdNdz09LW1nSWRmVjEwNzVHQkMzQXdQUThpcFE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
43.322437,-64.760307,131,251,251,1,USBOS,LR,281,MSC ZLATA R,7,756299,32,232,27,53452,11,,,,0
19.401821,-22.821568,120,219,220,4,CVMIN,MH,47,KING BENJI,9,8077593,10,39,10,0,55,,,,
58.722019,-4.0032334,123,270,269,1,GB SOW,PT,144,STENBERG,8,204702,23,118,15,16626,88,,,,0
22.480797,-25.238312,103,42,45,610,GI GIB,MH,199,GENCO CONSTELLATION,7,5196181,32,168,18,63310,6,,,,
23.749571,-23.90206,103,45,,13,,,,[SAT-AIS],7,TmpRME1USXhOalEwTVRJeE5qUTBNUT09LTdjRHNsM2dmMDBWWXFLVHNZNEJXQWc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
36.734699,-24.462542,172,224,223,1,US NSS,ES,299,RIAS BAIXAS KNUTSEN,8,5902138,48,231,27,96354,18,,,,0
24.750164,-33.322628,113,79,,14,,,,[SAT-AIS],7,TVRVeU56WTRNVFV5TnpZNE1UVXlOdz09LU0vY3d1Q0xsblgySGhEMnV1ckNFbnc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
38.751564,-90.145813,0,288,23,2,US^0X1F>0AJJ,US,43,NASHVILLE,3,431601,13,189,16,1227,109,,,,0
37.154026,-9.2871399,170,27,26,1,PTSIE,PT,330,MSC YASHI B,7,5284893,48,112,15,134007,11,,,,0
25.959511,-55.093777,148,256,,188,HOUSTON,FR,205,BORDA,8,4202617,32,167,9,44451,19,,,,
25.78454,-55.892658,151,257,,14,,,,[SAT-AIS],8,TmprMk1qUXlOamsyTWpReU5qazJNZz09LVhpYzg3MVc4bllTeDRFZjJMYVV2a2c9PQ==,,,,,,8,Tanker,Underway using Engine,
15.83088,-87.971962,0,324,101,3,HN PCR,NO,284,BILBAO KNUTSEN,8,167645,42,226,11,77217,18,,,,0
36.879921,-76.331154,0,101,96,3,USORF,LR,292,CAPE BERNINA,7,4144387,45,251,27,181056,6,,,,0
11.857347,-15.574337,0,205,216,3,GWOXB,LR,176,JONATHAN P,7,757605,27,146,4,23600,11,,,,0
-2.8566666,-30.313334,110,206,,13,,,,[SAT-AIS],7,TnpNM09ESTJOek0zT0RJMk56TTNPQT09LXZjdzVQSFJHQ3RZbFgyMElJU2phblE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
-2.7168901,8.7494183,118,337,336,2,GQSSG,SG,175,GFS RUBY,7,713287,27,160,9,23342,11,,,,-9
1.8368284,-150.27901,123,302,,13,,,,[SAT-AIS],7,TlRNd09UZ3hOVE13T1RneE5UTXdPUT09LXp3RzN3U2w1WWJYWm9IMXNaNnRBRWc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
34.467735,-114.28073,0,172,,3,CLASS B,US,9,FLIPS AHOY,9,7505115,3,4,2,,,,,,
20.70186,-156.59325,93,141,143,2,"KAWAIHAE,HI",US,37,KAPENA JACK YOUNG,3,5602891,11,9,4,313,54,,,,0
45.906834,-83.974281,86,61,59,1,TWO HARBORS,US,306,AMERICAN SPIRIT,7,429629,32,289,17,61565,6,,,,0
16.91626,-160.22789,126,295,,13,,,,[SAT-AIS],7,T1RVeU5qVXhPVFV5TmpVeE9UVXlOZz09LXl3STFIUFlQQm1tMUN6cWJwOG9JcEE9PQ==,,,,,,7,Cargo Vessel,At Anchor,
-8.9433336,-153.44333,40,,,13,,,,[SAT-AIS],2,TlRZd09UQTVOVFl3T1RBNU5UWXdPUT09LTYzWjdXYXNhR2RSaVBUSVY5Z09xTEE9PQ==,,,,,,2,Fishing,Underway using Engine,
33.081554,-18.053265,162,31,33,2,ESVGO,FR,189,DOUCE FRANCE,7,6085618,30,169,15,26811,11,,,,1
44.219936,-172.18916,83,233,,13,,,,[SAT-AIS],7,TlRRM05EQXpOVFEzTkRBek5UUTNOQT09LTJ5a1dZem1RU05GSkhxQjV5OGQ1L0E9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
34.130001,-42.881668,110,62,,14,,,,[SAT-AIS],7,TkRFeE9ETTVOREV4T0RNNU5ERXhPQT09LXBrU1dTQTVJaVFLVXZxbEtVM3lYYXc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
40.0317,-9.8398504,125,358,1,1,KOLA BAY,PA,289,PLATOS,7,188120,45,246,27,171320,6,,,,-4
-3.8567033,5.4283881,143,308,305,2,NGTIN,LR,188,MSC NILA II,7,757184,30,167,7,30369,11,,,,0
41.464882,-81.672958,0,141,264,3,CLEVELAND SHUTTLES,US,193,SAM LAUD,7,429900,20,150,13,23857,156,,,,0
12.591911,-59.247799,115,295,293,1,BQEUX,MH,183,MERLIN,7,461695,29,157,19,38468,9,,,,0
8.6994333,-15.161077,167,128,131,6,TGLFW,PT,249,MSC JERSEY,7,758985,37,205,18,56592,11,,,,0
43.116833,-165.14832,108,223,,13,,,,[SAT-AIS],7,T1RZMU5URTBPVFkxTlRFME9UWTFOUT09LWpKRS9EOWFOeHBHN2hER2dkcUJLbXc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
34.181107,-152.91365,111,102,,14,,,,[SAT-AIS],7,T0RJeU1UTTVPREl5TVRNNU9ESXlNUT09LWtFbnp3TmliZUVETWxqWGJtU05BQmc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
32.916077,-42.745754,133,93,91,1,AGADIR,MH,179,ATLANTIC RUNNER II,7,758343,28,163,8,33150,9,,,,13
-9.7515125,8.7551746,158,46,,22,FOR ORDERS,GR,294,MARAN GAS HYDRA,8,5761903,46,234,23,95000,18,,,,
-9.7227135,8.7851334,158,46,,13,,,,[SAT-AIS],8,TlRVMk5ETTROVFUyTkRNNE5UVTJOQT09LUlUKzhLVW5TK3dnNGp0TXZoa0lhZnc9PQ==,,,,,,8,Tanker,Underway using Engine,
28.503677,-16.155996,0,155,22,3,TENERIFE,MT,280,COOL RUNNER,8,3058,43,0,22,81891,18,,,,1
53.69949,-0.86769998,0,29,255,3,GB GOO,GB,89,CELTIC FORESTER,7,348853,15,77,5,4323,9,,,,
33.079891,-69.084656,203,130,,612,VIZHINJAM,LR,322,GSL NINGBO,7,686593,42,246,30,105431,11,,,,
30.903173,-65.98716,202,131,,14,,,,[SAT-AIS],7,TlRnMk9ETTNOVGcyT0RNM05UZzJPQT09LUd5WVNUNXNNMTlSbWFJS3RVdWpKTVE9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
32.672726,-160.47298,131,87,88,519,US LAX,LR,182,HIGH LEADER,8,5456211,32,147,10,49929,88,,,,-6
32.729408,-158.21475,135,90,,15,,,,[SAT-AIS],8,TXpreE5ESTNNemt4TkRJM016a3hOQT09LUE1SUEyZzhKS1NiUDN3SW01TldQQUE9PQ==,,,,,,8,Tanker,Underway using Engine,
46.734955,-127.40461,130,169,171,1,OAKLAND,PT,300,MSC BRITTANY,7,3860780,48,232,33,115583,11,,,,-1
48.446728,-124.49271,126,291,292,1,KRDJN,MH,292,KSL CHINA,7,714626,45,256,23,179109,6,,,,0
24.085222,-91.951874,101,193,,546,USL09>MXYKN,PT,228,NORDLOTUS,8,123010,42,197,17,105543,17,,,,
22.375,-92.363335,120,191,,15,,,,[SAT-AIS],8,T1RVMU5EUTNPVFUxTkRRM09UVTFOQT09LWVJUnZtdzJKN1Y1Q3dBYWZhOVJvakE9PQ==,,,,,,8,Tanker,Underway using Engine,
35.692673,-153.76096,182,265,266,2,USOAK>KRPUS,LR,366,MSC JOSSELINE,7,5884787,48,113,14,150893,11,,,,0
31.865339,-11.542307,168,42,42,4,MYTPP>>EGPSD,DK,350,ALVA MAERSK,7,9317735,54,18,18,174009,11,,,,0
18.220022,-94.502899,1,128,4,3,MX COA,SG,119,EPIC SALINA,8,995754,21,98,17,8982,19,,,,-2
-4.8252602,-157.45517,162,123,,13,,,,[SAT-AIS],7,TWpRNE16azVNalE0TXprNU1qUTRNdz09LVNCNW1PSzVadDhiVjJYVld5WFpsMmc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
34.547165,-32.618214,125,95,,14,,,,[SAT-AIS],8,TkRreU1EQTRORGt5TURBNE5Ea3lNQT09LU1RSEFQQklXeUNhcU4za3FwNDdrMGc9PQ==,,,,,,8,Tanker,Underway using Engine,
42.334652,-148.10144,118,236,,14,,,,[SAT-AIS],7,TnpNeU1UQTNOek15TVRBM056TXlNUT09LStkaFdISHlRYm5WbXJPYWZWZkNjRGc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
45.981636,-21.507383,96,293,294,366,CATRR,NL,154,HAPPY SKY,7,270736,26,19,20,18680,4,,,,-5
46.400002,-22.853333,120,290,,14,,,,[SAT-AIS],7,TmpZMU5UazNOalkxTlRrM05qWTFOUT09LU10MW45WldZUW1nci95c2N5NEczaHc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
2.5896499,-47.720272,140,233,,13,,,,[SAT-AIS],7,TmpFek56YzVOakV6TnpjNU5qRXpOdz09LTBqNlpQa3VndVF0NWZiUFhBQkhMK3c9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
13.684482,-52.485916,151,125,122,1,MYPKG,MT,366,CMA CGM T.JEFFERSON,7,4921667,48,139,24,148407,11,,,,0
67.388237,-62.561798,123,100,,15,,,,[SAT-AIS],3,TXpjMU9EWTJNemMxT0RZMk16YzFPQT09LWVWaW11MmtLVHZab0xVc3ZJelZXN1E9PQ==,,,,,,3,Tugs & Special Craft,Underway using Engine,
16.735001,-45.341667,190,302,,14,,,,[SAT-AIS],7,TnpjeU5UUTBOemN5TlRRME56Y3lOUT09LVlrU3BGTTBoSFllelh0SjhFTzJUYnc9PQ==,,,,,,7,Cargo Vessel,Underway using Engine,
